Year,State,State_Code,US_Population,US_Population_Over_65,US_Perc_Over_65,State_Population,State_Population_Over_65,State_Perc_Over_65
2015,Alabama,AL,320878310,47760852,14.9,4867274,764162,15.7
2015,Alaska,AK,320878310,47760852,14.9,735727,72837,9.9
2015,Arizona,AZ,320878310,47760852,14.9,6829598,1120054,16.4
2015,Arkansas,AR,320878310,47760852,14.9,2982181,477149,16
2015,California,CA,320878310,47760852,14.9,39013188,5188754,13.3
2015,Colorado,CO,320878310,47760852,14.9,5474038,711625,13
2015,Connecticut,CT,320878310,47760852,14.9,3587380,566806,15.8
2015,Delaware,DE,320878310,47760852,14.9,944206,160515,17
2015,District of Columbia,DC,320878310,47760852,14.9,669600,77004,11.5
2015,Florida,FL,320878310,47760852,14.9,20322000,3942468,19.4
2015,Georgia,GA,320878310,47760852,14.9,10194719,1304924,12.8
2015,Hawaii,HI,320878310,47760852,14.9,1435842,236914,16.5
2015,Idaho,ID,320878310,47760852,14.9,1656422,243494,14.7
2015,Illinois,IL,320878310,47760852,14.9,12889275,1830277,14.2
2015,Indiana,IN,320878310,47760852,14.9,6617308,966127,14.6
2015,Iowa,IA,320878310,47760852,14.9,3123460,502877,16.1
2015,Kansas,KS,320878310,47760852,14.9,2920616,426410,14.6
2015,Kentucky,KY,320878310,47760852,14.9,4426086,672765,15.2
2015,Louisiana,LA,320878310,47760852,14.9,4664957,653094,14
2015,Maine,ME,320878310,47760852,14.9,1332638,250536,18.8
2015,Maryland,MD,320878310,47760852,14.9,6025326,849571,14.1
2015,Massachusetts,MA,320878310,47760852,14.9,6787156,1045222,15.4
2015,Michigan,MI,320878310,47760852,14.9,9940956,1570671,15.8
2015,Minnesota,MN,320878310,47760852,14.9,5480565,805643,14.7
2015,Mississippi,MS,320878310,47760852,14.9,2991163,439701,14.7
2015,Missouri,MO,320878310,47760852,14.9,6082306,954922,15.7
2015,Montana,MT,320878310,47760852,14.9,1034948,178011,17.2
2015,Nebraska,NE,320878310,47760852,14.9,1895993,278711,14.7
2015,Nevada,NV,320878310,47760852,14.9,2891219,422118,14.6
2015,New Hampshire,NH,320878310,47760852,14.9,1326921,218942,16.5
2015,New Jersey,NJ,320878310,47760852,14.9,8957507,1343626,15
2015,New Mexico,NM,320878310,47760852,14.9,2091171,330405,15.8
2015,New York,NY,320878310,47760852,14.9,19762100,2964315,15
2015,North Carolina,NC,320878310,47760852,14.9,10045192,1516824,15.1
2015,North Dakota,ND,320878310,47760852,14.9,755500,107281,14.2
2015,Ohio,OH,320878310,47760852,14.9,11590893,1842952,15.9
2015,Oklahoma,OK,320878310,47760852,14.9,3920068,576250,14.7
2015,Oregon,OR,320878310,47760852,14.9,4029732,660876,16.4
2015,Pennsylvania,PA,320878310,47760852,14.9,12822282,2179788,17
2015,Rhode Island,RI,320878310,47760852,14.9,1055752,169976,16.1
2015,South Carolina,SC,320878310,47760852,14.9,4906142,794795,16.2
2015,South Dakota,SD,320878310,47760852,14.9,856178,134420,15.7
2015,Tennessee,TN,320878310,47760852,14.9,6600987,1016552,15.4
2015,Texas,TX,320878310,47760852,14.9,27565538,3225168,11.7
2015,Utah,UT,320878310,47760852,14.9,2989000,307867,10.3
